tensor_index,PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,cohort_label
213,2054,Jake Tsakalidis,2000,3,2002-03,31,135,61,0.45185185185185184,draft
214,2054,Jake Tsakalidis,2000,4,2003-04,35,133,67,0.5037593984962406,draft
215,2055,Mamadou N'diaye,2000,3,2002-03,18,96,43,0.4479166666666667,draft
216,2055,Mamadou N'diaye,2000,4,2003-04,23,69,27,0.391304347826087,draft
217,2056,Primoz Brezec,2000,2,2001-02,12,29,14,0.4827586206896552,draft
218,2056,Primoz Brezec,2000,3,2002-03,17,38,15,0.39473684210526316,draft
219,2056,Primoz Brezec,2000,4,2003-04,12,26,12,0.46153846153846156,draft
220,2057,Erick Barkley,2000,2,2001-02,17,68,24,0.35294117647058826,draft
221,2058,Mark Madsen,2000,1,2000-01,44,113,55,0.48672566371681414,draft
222,2058,Mark Madsen,2000,2,2001-02,48,145,66,0.45517241379310347,draft
223,2058,Mark Madsen,2000,3,2002-03,47,163,69,0.4233128834355828,draft
224,2058,Mark Madsen,2000,4,2003-04,62,201,101,0.5024875621890548,draft
225,2059,Eduardo Najera,2000,1,2000-01,34,111,58,0.5225225225225225,draft
226,2059,Eduardo Najera,2000,2,2001-02,59,300,150,0.5,draft
227,2059,Eduardo Najera,2000,3,2002-03,48,231,129,0.5584415584415584,draft
228,2059,Eduardo Najera,2000,4,2003-04,52,161,72,0.4472049689440994,draft
229,2060,Marko Jaric,2000,3,2002-03,65,443,179,0.4040632054176072,draft
230,2060,Marko Jaric,2000,4,2003-04,58,474,185,0.39029535864978904,draft
231,2061,Dan Langhi,2000,1,2000-01,28,99,37,0.37373737373737376,draft
232,2061,Dan Langhi,2000,2,2001-02,27,125,49,0.392,draft
233,2061,Dan Langhi,2000,3,2002-03,50,202,81,0.400990099009901,draft
234,2062,A.J. Guyton,2000,1,2000-01,32,192,78,0.40625,draft
235,2062,A.J. Guyton,2000,2,2001-02,43,242,87,0.359504132231405,draft
236,2063,Jake Voskuhl,2000,1,2000-01,11,25,11,0.44,draft
237,2063,Jake Voskuhl,2000,2,2001-02,51,193,107,0.5544041450777202,draft
238,2063,Jake Voskuhl,2000,3,2002-03,55,163,92,0.5644171779141104,draft
239,2063,Jake Voskuhl,2000,4,2003-04,66,300,152,0.5066666666666667,draft
240,2064,Khalid El-Amin,2000,1,2000-01,50,311,115,0.36977491961414793,draft
241,2065,Mike Smith,2000,1,2000-01,14,59,19,0.3220338983050847,draft
242,2066,Soumaila Samake,2000,1,2000-01,23,48,18,0.375,draft
243,2067,Eddie House,2000,1,2000-01,47,247,104,0.42105263157894735,draft
244,2067,Eddie House,2000,2,2001-02,62,518,209,0.4034749034749035,draft
245,2067,Eddie House,2000,3,2002-03,52,442,172,0.3891402714932127,draft
246,2067,Eddie House,2000,4,2003-04,59,447,161,0.36017897091722595,draft
247,2068,Lavor Postell,2000,1,2000-01,21,54,17,0.3148148148148148,draft
248,2068,Lavor Postell,2000,2,2001-02,19,84,28,0.3333333333333333,draft
249,2068,Lavor Postell,2000,3,2002-03,10,38,14,0.3684210526315789,draft
250,2069,Hanno Mottola,2000,1,2000-01,66,277,123,0.44404332129963897,draft
251,2069,Hanno Mottola,2000,2,2001-02,76,384,169,0.4401041666666667,draft
252,2071,Olumide Oyedeji,2000,1,2000-01,16,37,18,0.4864864864864865,draft
253,2071,Olumide Oyedeji,2000,2,2001-02,23,41,22,0.5365853658536586,draft
254,2072,Michael Redd,2000,2,2001-02,67,608,294,0.48355263157894735,draft
255,2072,Michael Redd,2000,3,2002-03,82,971,455,0.4685890834191555,draft
256,2072,Michael Redd,2000,4,2003-04,82,1437,633,0.4405010438413361,draft
257,2073,Brian Cardinal,2000,1,2000-01,11,31,10,0.3225806451612903,draft
258,2073,Brian Cardinal,2000,4,2003-04,71,463,219,0.47300215982721383,draft
259,2074,Jabari Smith,2000,2,2001-02,18,63,26,0.4126984126984127,draft
260,2084,Chris Porter,2000,1,2000-01,49,445,173,0.3887640449438202,draft
261,2198,Kwame Brown,2001,1,2001-02,48,243,94,0.3868312757201646,draft
262,2198,Kwame Brown,2001,2,2002-03,77,502,224,0.44621513944223107,draft
263,2198,Kwame Brown,2001,3,2003-04,74,589,288,0.48896434634974534,draft
264,2198,Kwame Brown,2001,4,2004-05,40,237,109,0.459915611814346,draft
265,2199,Tyson Chandler,2001,1,2001-02,69,304,151,0.4967105263157895,draft
266,2199,Tyson Chandler,2001,2,2002-03,75,484,257,0.53099173553719,draft
267,2199,Tyson Chandler,2001,3,2003-04,34,157,67,0.4267515923566879,draft
268,2199,Tyson Chandler,2001,4,2004-05,79,419,207,0.49403341288782815,draft
269,2200,Pau Gasol,2001,1,2001-02,82,1064,551,0.5178571428571429,draft
270,2200,Pau Gasol,2001,2,2002-03,82,1115,569,0.5103139013452915,draft
271,2200,Pau Gasol,2001,3,2003-04,78,1049,506,0.48236415633937085,draft
272,2200,Pau Gasol,2001,4,2004-05,56,695,357,0.5136690647482014,draft
273,2201,Eddy Curry,2001,1,2001-02,71,377,189,0.5013262599469496,draft
274,2201,Eddy Curry,2001,2,2002-03,78,573,335,0.5846422338568935,draft
275,2201,Eddy Curry,2001,3,2003-04,73,840,417,0.49642857142857144,draft
276,2201,Eddy Curry,2001,4,2004-05,63,730,393,0.5383561643835616,draft
277,2202,Jason Richardson,2001,1,2001-02,80,1087,463,0.42594296228150874,draft
278,2202,Jason Richardson,2001,2,2002-03,82,1159,476,0.41069887834339946,draft
279,2202,Jason Richardson,2001,3,2003-04,78,1283,563,0.4388152766952455,draft
280,2202,Jason Richardson,2001,4,2004-05,72,1367,610,0.44623262618873444,draft
281,2203,Shane Battier,2001,1,2001-02,78,960,412,0.42916666666666664,draft
282,2203,Shane Battier,2001,2,2002-03,78,569,275,0.4833040421792619,draft
283,2203,Shane Battier,2001,3,2003-04,78,541,242,0.44731977818853974,draft
284,2203,Shane Battier,2001,4,2004-05,80,612,271,0.44281045751633985,draft
285,2204,Eddie Griffin,2001,1,2001-02,73,666,244,0.3663663663663664,draft
286,2204,Eddie Griffin,2001,2,2002-03,77,678,271,0.3997050147492625,draft
287,2204,Eddie Griffin,2001,4,2004-05,69,522,202,0.38697318007662834,draft
288,2205,DeSagana Diop,2001,1,2001-02,14,29,12,0.41379310344827586,draft
289,2205,DeSagana Diop,2001,2,2002-03,63,154,54,0.35064935064935066,draft
290,2205,DeSagana Diop,2001,3,2003-04,45,147,57,0.3877551020408163,draft
291,2205,DeSagana Diop,2001,4,2004-05,28,69,20,0.2898550724637681,draft
292,2206,Rodney White,2001,1,2001-02,15,60,21,0.35,draft
293,2206,Rodney White,2001,2,2002-03,71,638,260,0.40752351097178685,draft
294,2206,Rodney White,2001,3,2003-04,71,467,215,0.4603854389721627,draft
295,2206,Rodney White,2001,4,2004-05,54,288,121,0.4201388888888889,draft
296,2207,Joe Johnson,2001,1,2001-02,77,584,251,0.4297945205479452,draft
297,2207,Joe Johnson,2001,2,2002-03,81,795,316,0.39748427672955977,draft
298,2207,Joe Johnson,2001,3,2003-04,82,1287,555,0.43123543123543123,draft
299,2207,Joe Johnson,2001,4,2004-05,82,1171,544,0.4645602049530316,draft
300,2208,Kedrick Brown,2001,1,2001-02,24,70,23,0.32857142857142857,draft
301,2208,Kedrick Brown,2001,2,2002-03,45,170,61,0.3588235294117647,draft
302,2208,Kedrick Brown,2001,3,2003-04,52,254,117,0.46062992125984253,draft
303,2209,Vladimir Radmanovic,2001,1,2001-02,58,354,146,0.4124293785310734,draft
304,2209,Vladimir Radmanovic,2001,2,2002-03,71,666,274,0.4114114114114114,draft
