PLAYER_ID,COHORT_PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,eligible_for_tensor,excluded_from_embedding_training_low_volume
2038,Joel Przybilla,2000,2,2001-02,58,142,76,0.5352112676056338,1,0
2038,Joel Przybilla,2000,3,2002-03,23,46,18,0.391304347826087,1,0
2038,Joel Przybilla,2000,4,2003-04,11,50,18,0.36,1,0
2039,Keyon Dooling,2000,1,2000-01,76,362,148,0.4088397790055249,1,0
2039,Keyon Dooling,2000,2,2001-02,14,57,22,0.38596491228070173,1,0
2039,Keyon Dooling,2000,3,2002-03,55,329,128,0.3890577507598784,1,0
2039,Keyon Dooling,2000,4,2003-04,56,351,137,0.3903133903133903,1,0
2040,Jerome Moiso,2000,1,2000-01,15,30,12,0.4,1,0
2040,Jerome Moiso,2000,2,2001-02,10,20,8,0.4,0,1
2040,Jerome Moiso,2000,3,2002-03,48,171,89,0.52046783625731,1,0
2040,Jerome Moiso,2000,4,2003-04,20,84,40,0.47619047619047616,1,0
2041,Etan Thomas,2000,2,2001-02,37,151,81,0.5364238410596026,1,0
2041,Etan Thomas,2000,3,2002-03,32,124,61,0.49193548387096775,1,0
2041,Etan Thomas,2000,4,2003-04,79,526,257,0.48859315589353614,1,0
2042,Courtney Alexander,2000,1,2000-01,62,573,239,0.41710296684118675,1,0
2042,Courtney Alexander,2000,2,2001-02,54,474,223,0.4704641350210971,1,0
2042,Courtney Alexander,2000,3,2002-03,66,505,193,0.3821782178217822,1,0
2044,Jason Collier,2000,3,2002-03,12,36,17,0.4722222222222222,1,0
2044,Jason Collier,2000,4,2003-04,20,165,79,0.47878787878787876,1,0
2045,Hedo Turkoglu,2000,1,2000-01,70,335,138,0.41194029850746267,1,0
2045,Hedo Turkoglu,2000,2,2001-02,80,686,290,0.4227405247813411,1,0
2045,Hedo Turkoglu,2000,3,2002-03,66,391,165,0.4219948849104859,1,0
2045,Hedo Turkoglu,2000,4,2003-04,79,645,262,0.4062015503875969,1,0
2046,Desmond Mason,2000,1,2000-01,75,437,189,0.43249427917620137,1,0
2046,Desmond Mason,2000,2,2001-02,75,768,357,0.46484375,1,0
2046,Desmond Mason,2000,3,2002-03,80,1015,457,0.45024630541871924,1,0
2046,Desmond Mason,2000,4,2003-04,82,866,409,0.4722863741339492,1,0
2047,Quentin Richardson,2000,1,2000-01,75,525,232,0.4419047619047619,1,0
2047,Quentin Richardson,2000,2,2001-02,81,924,401,0.43398268398268397,1,0
2047,Quentin Richardson,2000,3,2002-03,58,543,203,0.3738489871086556,1,0
2047,Quentin Richardson,2000,4,2003-04,65,1067,425,0.3983130271790066,1,0
2048,Jamaal Magloire,2000,1,2000-01,67,270,122,0.45185185185185184,1,0
2048,Jamaal Magloire,2000,2,2001-02,82,413,227,0.549636803874092,1,0
2048,Jamaal Magloire,2000,3,2002-03,82,634,305,0.4810725552050473,1,0
2048,Jamaal Magloire,2000,4,2003-04,82,809,383,0.47342398022249693,1,0
2049,Speedy Claxton,2000,2,2001-02,66,451,181,0.401330376940133,1,0
2049,Speedy Claxton,2000,3,2002-03,28,145,67,0.46206896551724136,1,0
2049,Speedy Claxton,2000,4,2003-04,60,524,224,0.42748091603053434,1,0
2050,Morris Peterson,2000,1,2000-01,79,670,290,0.43283582089552236,1,0
2050,Morris Peterson,2000,2,2001-02,63,765,336,0.4392156862745098,1,0
2050,Morris Peterson,2000,3,2002-03,82,1070,421,0.39345794392523364,1,0
2050,Morris Peterson,2000,4,2003-04,82,586,238,0.4061433447098976,1,0
2051,Donnell Harvey,2000,1,2000-01,7,14,8,0.5714285714285714,0,1
2051,Donnell Harvey,2000,2,2001-02,40,217,108,0.4976958525345622,1,0
2051,Donnell Harvey,2000,3,2002-03,76,551,246,0.44646098003629764,1,0
2051,Donnell Harvey,2000,4,2003-04,51,200,89,0.445,1,0
2052,DeShawn Stevenson,2000,1,2000-01,35,91,31,0.34065934065934067,1,0
2052,DeShawn Stevenson,2000,2,2001-02,65,369,143,0.3875338753387534,1,0
2052,DeShawn Stevenson,2000,3,2002-03,54,284,114,0.4014084507042254,1,0
2052,DeShawn Stevenson,2000,4,2003-04,80,871,376,0.4316877152698048,1,0
2053,Dalibor Bagaric,2000,1,2000-01,22,65,17,0.26153846153846155,1,0
2053,Dalibor Bagaric,2000,2,2001-02,48,178,72,0.4044943820224719,1,0
2053,Dalibor Bagaric,2000,3,2002-03,9,26,8,0.3076923076923077,1,0
2054,Jake Tsakalidis,2000,1,2000-01,53,215,101,0.4697674418604651,1,0
2054,Jake Tsakalidis,2000,2,2001-02,64,400,190,0.475,1,0
2054,Jake Tsakalidis,2000,3,2002-03,31,135,61,0.45185185185185184,1,0
2054,Jake Tsakalidis,2000,4,2003-04,35,133,67,0.5037593984962406,1,0
2055,Mamadou N'diaye,2000,1,2000-01,3,4,1,0.25,0,1
2055,Mamadou N'diaye,2000,2,2001-02,5,10,6,0.6,0,1
2055,Mamadou N'diaye,2000,3,2002-03,18,96,43,0.4479166666666667,1,0
2055,Mamadou N'diaye,2000,4,2003-04,23,69,27,0.391304347826087,1,0
2056,Primoz Brezec,2000,2,2001-02,12,29,14,0.4827586206896552,1,0
2056,Primoz Brezec,2000,3,2002-03,17,38,15,0.39473684210526316,1,0
2056,Primoz Brezec,2000,4,2003-04,12,26,12,0.46153846153846156,1,0
2057,Erick Barkley,2000,1,2000-01,8,22,8,0.36363636363636365,0,1
2057,Erick Barkley,2000,2,2001-02,17,68,24,0.35294117647058826,1,0
2058,Mark Madsen,2000,1,2000-01,44,113,55,0.48672566371681414,1,0
2058,Mark Madsen,2000,2,2001-02,48,145,66,0.45517241379310347,1,0
2058,Mark Madsen,2000,3,2002-03,47,163,69,0.4233128834355828,1,0
2058,Mark Madsen,2000,4,2003-04,62,201,101,0.5024875621890548,1,0
2059,Eduardo Najera,2000,1,2000-01,34,111,58,0.5225225225225225,1,0
2059,Eduardo Najera,2000,2,2001-02,59,300,150,0.5,1,0
2059,Eduardo Najera,2000,3,2002-03,48,231,129,0.5584415584415584,1,0
2059,Eduardo Najera,2000,4,2003-04,52,161,72,0.4472049689440994,1,0
2060,Marko Jaric,2000,3,2002-03,65,443,179,0.4040632054176072,1,0
2060,Marko Jaric,2000,4,2003-04,58,474,185,0.39029535864978904,1,0
2061,Dan Langhi,2000,1,2000-01,28,99,37,0.37373737373737376,1,0
2061,Dan Langhi,2000,2,2001-02,27,125,49,0.392,1,0
2061,Dan Langhi,2000,3,2002-03,50,202,81,0.400990099009901,1,0
2061,Dan Langhi,2000,4,2003-04,5,14,5,0.35714285714285715,0,1
2062,A.J. Guyton,2000,1,2000-01,32,192,78,0.40625,1,0
2062,A.J. Guyton,2000,2,2001-02,43,242,87,0.359504132231405,1,0
2062,A.J. Guyton,2000,3,2002-03,2,3,0,0.0,0,1
2063,Jake Voskuhl,2000,1,2000-01,11,25,11,0.44,1,0
2063,Jake Voskuhl,2000,2,2001-02,51,193,107,0.5544041450777202,1,0
2063,Jake Voskuhl,2000,3,2002-03,55,163,92,0.5644171779141104,1,0
2063,Jake Voskuhl,2000,4,2003-04,66,300,152,0.5066666666666667,1,0
2064,Khalid El-Amin,2000,1,2000-01,50,311,115,0.36977491961414793,1,0
2065,Mike Smith,2000,1,2000-01,14,59,19,0.3220338983050847,1,0
2066,Soumaila Samake,2000,1,2000-01,23,48,18,0.375,1,0
2066,Soumaila Samake,2000,3,2002-03,6,24,10,0.4166666666666667,0,1
2067,Eddie House,2000,1,2000-01,47,247,104,0.42105263157894735,1,0
2067,Eddie House,2000,2,2001-02,62,518,209,0.4034749034749035,1,0
2067,Eddie House,2000,3,2002-03,52,442,172,0.3891402714932127,1,0
2067,Eddie House,2000,4,2003-04,59,447,161,0.36017897091722595,1,0
2068,Lavor Postell,2000,1,2000-01,21,54,17,0.3148148148148148,1,0
2068,Lavor Postell,2000,2,2001-02,19,84,28,0.3333333333333333,1,0
2068,Lavor Postell,2000,3,2002-03,10,38,14,0.3684210526315789,1,0
2069,Hanno Mottola,2000,1,2000-01,66,277,123,0.44404332129963897,1,0
2069,Hanno Mottola,2000,2,2001-02,76,384,169,0.4401041666666667,1,0
2071,Olumide Oyedeji,2000,1,2000-01,16,37,18,0.4864864864864865,1,0
2071,Olumide Oyedeji,2000,2,2001-02,23,41,22,0.5365853658536586,1,0
2071,Olumide Oyedeji,2000,3,2002-03,14,23,10,0.43478260869565216,0,1
2072,Michael Redd,2000,1,2000-01,6,19,5,0.2631578947368421,0,1
2072,Michael Redd,2000,2,2001-02,67,608,294,0.48355263157894735,1,0
2072,Michael Redd,2000,3,2002-03,82,971,455,0.4685890834191555,1,0
2072,Michael Redd,2000,4,2003-04,82,1437,633,0.4405010438413361,1,0
2073,Brian Cardinal,2000,1,2000-01,11,31,10,0.3225806451612903,1,0
2073,Brian Cardinal,2000,2,2001-02,6,13,6,0.46153846153846156,0,1
2073,Brian Cardinal,2000,3,2002-03,1,4,1,0.25,0,1
2073,Brian Cardinal,2000,4,2003-04,71,463,219,0.47300215982721383,1,0
2074,Jabari Smith,2000,1,2000-01,8,22,11,0.5,0,1
2074,Jabari Smith,2000,2,2001-02,18,63,26,0.4126984126984127,1,0
2081,Ernest Brown,2000,2,2001-02,2,6,1,0.16666666666666666,0,1
2082,Dan McClintock,2000,1,2000-01,5,18,9,0.5,0,1
2084,Chris Porter,2000,1,2000-01,49,445,173,0.3887640449438202,1,0
2198,Kwame Brown,2001,1,2001-02,48,243,94,0.3868312757201646,1,0
2198,Kwame Brown,2001,2,2002-03,77,502,224,0.44621513944223107,1,0
2198,Kwame Brown,2001,3,2003-04,74,589,288,0.48896434634974534,1,0
2198,Kwame Brown,2001,4,2004-05,40,237,109,0.459915611814346,1,0
2199,Tyson Chandler,2001,1,2001-02,69,304,151,0.4967105263157895,1,0
2199,Tyson Chandler,2001,2,2002-03,75,484,257,0.53099173553719,1,0
2199,Tyson Chandler,2001,3,2003-04,34,157,67,0.4267515923566879,1,0
2199,Tyson Chandler,2001,4,2004-05,79,419,207,0.49403341288782815,1,0
2200,Pau Gasol,2001,1,2001-02,82,1064,551,0.5178571428571429,1,0
2200,Pau Gasol,2001,2,2002-03,82,1115,569,0.5103139013452915,1,0
2200,Pau Gasol,2001,3,2003-04,78,1049,506,0.48236415633937085,1,0
2200,Pau Gasol,2001,4,2004-05,56,695,357,0.5136690647482014,1,0
2201,Eddy Curry,2001,1,2001-02,71,377,189,0.5013262599469496,1,0
2201,Eddy Curry,2001,2,2002-03,78,573,335,0.5846422338568935,1,0
2201,Eddy Curry,2001,3,2003-04,73,840,417,0.49642857142857144,1,0
2201,Eddy Curry,2001,4,2004-05,63,730,393,0.5383561643835616,1,0
2202,Jason Richardson,2001,1,2001-02,80,1087,463,0.42594296228150874,1,0
2202,Jason Richardson,2001,2,2002-03,82,1159,476,0.41069887834339946,1,0
2202,Jason Richardson,2001,3,2003-04,78,1283,563,0.4388152766952455,1,0
2202,Jason Richardson,2001,4,2004-05,72,1367,610,0.44623262618873444,1,0
2203,Shane Battier,2001,1,2001-02,78,960,412,0.42916666666666664,1,0
