PLAYER_ID,PLAYER_NAME,player_name_key,draft_year,INPUT_SEASON,FORECAST_SEASON,predicted_class,actual_class,label_known,is_correct,sleeper_probability,neutral_probability,bust_probability,confidence_rating,confidence_score,uncertainty_proxy,holdout_split_tag,actual_years5_7_perf_score_component_mean,predicted_years5_7_perf_score_component_mean,performance_pred_error_component_mean,actual_scoring_metric_score,actual_efficiency_metric_score,actual_playmaking_metric_score,actual_defense_metric_score,actual_control_metric_score,predicted_scoring_metric_score,predicted_efficiency_metric_score,predicted_playmaking_metric_score,predicted_defense_metric_score,predicted_control_metric_score,actual_years5_7_games_avg,actual_years5_7_minutes_avg,actual_years5_7_points_avg,actual_years5_7_rebounds_avg,actual_years5_7_assists_avg,boxscore_target_support_flag,performance_test_prediction_available,identity_source,classification_support_flag,forecast_support_flag,block1_ready_flag,deliverable3_block1_note
101115.0,Andrew Bynum,andrew bynum,2004,2005-2009,2009-2012,Neutral,Neutral,1,1.0,0.000824542,0.8880371,0.111138366,High,0.8880371,0.11196289999999998,Test,54.529581684335156,39.5194872,-15.01009474,49.85276748383025,70.71770296580979,7.924381638607674,73.76095127853802,70.39210505489002,41.710037,46.70114,34.48424,45.156178,29.545841,0.0,0.0,0.0,0.0,0.0,missing_all_stats_window,1.0,player_id_all_stats,label_known,test_prediction_available,ready_for_name_or_id_merge,classification probabilities plus test-set performance forecast available
,Andrew DeClercq,andrew declercq,,,,Bust,,0,,0.0003893996,0.050160505,0.9494501,High,0.9494501,0.050549900000000036,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
,Andrew Nembhard,andrew nembhard,,,,Neutral,,0,,0.011225558,0.85182613,0.13694829,High,0.85182613,0.14817387000000004,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
,Andrew Nicholson,andrew nicholson,,,,Bust,,0,,0.0032136561,0.14469358,0.8520927,High,0.8520927,0.14790729999999996,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
203952.0,Andrew Wiggins,andrew wiggins,2014,2014-2018,2018-2021,Neutral,Neutral,1,1.0,0.34015173,0.6576705,0.0021777516,Medium,0.6576705,0.34232949999999995,Train,41.51372977141599,,,62.12228708864858,37.02278357919149,27.366718390326643,59.76923419291622,21.28762560599701,,,,,,66.0,2255.2883333333334,1272.0,324.3333333333333,183.0,ok,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
2740.0,Andris Biedrins,andris biedrins,2003,2004-2008,2008-2011,Neutral,Bust,1,0.0,0.007948485,0.506543,0.48550856,Low,0.506543,0.49345700000000003,Train,45.240484078905226,,,20.533879472100512,53.7919947506363,21.551101997289408,51.82630014310453,78.49914403139539,,,,,,0.0,0.0,0.0,0.0,0.0,missing_all_stats_window,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
,Anfernee Hardaway,anfernee hardaway,,,,Bust,,0,,0.11048226,0.3413425,0.5481753,Low,0.5481753,0.45182469999999997,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
1629014.0,Anfernee Simons,anfernee simons,2018,2018-2022,2022-2025,Bust,Neutral,1,0.0,0.07635649,0.22273104,0.7009125,High,0.7009125,0.29908749999999995,Test,42.133076823224236,45.37372680000001,3.240649600000012,69.43213795182194,54.85711289542532,50.54929776150195,31.55928153440802,4.267553972963938,48.48411,53.492867,39.50496,51.45741,33.929287,59.333333333333336,2014.7672219999997,1231.0,172.33333333333334,281.6666666666667,ok,1.0,player_id_all_stats,label_known,test_prediction_available,ready_for_name_or_id_merge,classification probabilities plus test-set performance forecast available
,Antawn Jamison,antawn jamison,,,,Sleeper,Sleeper,1,1.0,0.98875844,0.010498001,0.0007435361,High,0.98875844,0.011241559999999984,,,,,,,,,,,,,,,,,,,,,,,label_known,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
,Anthony Carter,anthony carter,,,,Bust,Bust,1,1.0,0.0023091822,0.016525496,0.9811653,High,0.9811653,0.018834699999999982,,,,,,,,,,,,,,,,,,,,,,,label_known,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
203076.0,Anthony Davis,anthony davis,2012,2012-2016,2016-2019,Sleeper,Sleeper,1,1.0,0.9973459,0.0023008299,0.00035317361,High,0.9973459,0.0026540999999999926,Train,71.35577477257442,,,95.31763894411536,67.7145909755042,22.99567232304582,100.0,70.75097162020673,,,,,,68.66666666666667,2428.2605556666663,1887.0,795.6666666666666,183.0,ok,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
,Anthony Edwards,anthony edwards,,,,Sleeper,,0,,0.9966446,0.0032086635,0.00014669004,High,0.9966446,0.0033554000000000084,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
